Tower section properties
20        n_secs:     number of blade or tower sections at which properties are specified (-)

      sec_loc             str_tw              tw_iner            mass_den            flp_iner            edge_iner           flp_stff            edge_stff           tor_stff           axial_stff           cg_offst            sc_offst            tc_offst      
        (-)                (deg)               (deg)              (kg/m)              (kg-m)              (kg-m)              (Nm^2)              (Nm^2)              (Nm^2)                (N)                 (m)                 (m)                 (m)        
 0.000000000000000e+00    0.00000              0.000000          1.051798696043843e+04  1.e-6             1.e-6              3.125329984894722e+12  3.125329984894722e+12  1.e+12            1.e+12             0.0                 0.0                 0.0 
 5.276273814258928e-02    0.00000              0.000000          1.031484441173361e+04  1.e-6             1.e-6              3.065446681730708e+12  3.065446681730708e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 1.055254762851786e-01    0.00000              0.000000          9.919392049524873e+03  1.e-6             1.e-6              2.948819312643065e+12  2.948819312643065e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 1.582882144277678e-01    0.00000              0.000000          9.488451468448127e+03  1.e-6             1.e-6              2.800650854266825e+12  2.800650854266825e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 2.110509525703571e-01    0.00000              0.000000          9.107242207297397e+03  1.e-6             1.e-6              2.668849444810565e+12  2.668849444810565e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 2.638136907129463e-01    0.00000              0.000000          8.547415223896240e+03  1.e-6             1.e-6              2.384631473929271e+12  2.384631473929271e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 3.165764288555356e-01    0.00000              0.000000          8.138448456295994e+03  1.e-6             1.e-6              2.158684470523123e+12  2.158684470523123e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 3.693391669981249e-01    0.00000              0.000000          7.685899491316734e+03  1.e-6             1.e-6              1.908968379611055e+12  1.908968379611055e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 4.221019051407142e-01    0.00000              0.000000          7.257851254111202e+03  1.e-6             1.e-6              1.684199591110688e+12  1.684199591110688e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 4.748646432833035e-01    0.00000              0.000000          6.812656121445572e+03  1.e-6             1.e-6              1.461023434770460e+12  1.461023434770460e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 5.276273814258928e-01    0.00000              0.000000          6.367653399866696e+03  1.e-6             1.e-6              1.257987044218262e+12  1.257987044218262e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 5.803901195684821e-01    0.00000              0.000000          5.906845588207135e+03  1.e-6             1.e-6              1.060381854661747e+12  1.060381854661747e+12  1.e+12            1.e+12             0.0                 0.0                 0.0
 6.331528577110713e-01    0.00000              0.000000          5.435020484499056e+03  1.e-6             1.e-6              8.823528023185538e+11  8.823528023185538e+11  1.e+12            1.e+12             0.0                 0.0                 0.0
 6.859155958536606e-01    0.00000              0.000000          5.081876946716434e+03  1.e-6             1.e-6              7.722022331506515e+11  7.722022331506515e+11  1.e+12            1.e+12             0.0                 0.0                 0.0
 7.386783339962499e-01    0.00000              0.000000          4.622289077026658e+03  1.e-6             1.e-6              6.560385651383677e+11  6.560385651383677e+11  1.e+12            1.e+12             0.0                 0.0                 0.0
 7.914410721388392e-01    0.00000              0.000000          4.283492084231731e+03  1.e-6             1.e-6              5.940955395619287e+11  5.940955395619287e+11  1.e+12            1.e+12             0.0                 0.0                 0.0
 8.442038102814284e-01    0.00000              0.000000          3.953168588780436e+03  1.e-6             1.e-6              5.356382690364203e+11  5.356382690364203e+11  1.e+12            1.e+12             0.0                 0.0                 0.0
 8.969665484240177e-01    0.00000              0.000000          3.625335201113427e+03  1.e-6             1.e-6              4.786765708968642e+11  4.786765708968642e+11  1.e+12            1.e+12             0.0                 0.0                 0.0
 9.497292865666070e-01    0.00000              0.000000          3.848777885790217e+03  1.e-6             1.e-6              4.945583348516254e+11  4.945583348516254e+11  1.e+12            1.e+12             0.0                 0.0                 0.0
 1.000000000000000e+00    0.00000              0.000000          4.097489292297825e+03  1.e-6             1.e-6              5.204924139095013e+11  5.204924139095013e+11  1.e+12            1.e+12             0.0                 0.0                 0.0
